NIT,ciiu,TOTAL ACTIVO CORRIENTE,TOTAL ACTIVO,TOTAL PASIVO CORRIENTE,TOTAL PASIVO,TOTAL PATRIMONIO,UTILIDAD,INTERESES,Ingresos,Tamaño Empresarial
800196310,"C1410 - Confección de prendas de vestir, excepto prendas de piel",4689834000,4732445000,2136738000,2697447000,2034998000,2489704000,120117000,13876891000,Mediana empresa
800196632,"C1521 - Fabricación de calzado de cuero y piel, con cualquier tipo de suela",16509245000,38068770000,4721455000,8757748000,29311022000,5305025000,510697000,31925763000,Mediana empresa
800196659,"C1410 - Confección de prendas de vestir, excepto prendas de piel",1825241000,1949554000,143767000,541790000,1407764000,419372000,1084000,1933496000,Pequeña empresa
800198042,C2229 - Fabricación de artículos de plástico n.c.p.,12717261000,18727831000,5304387000,11550006000,7177825000,8208975000,754023000,36902786000,Mediana empresa
800202866,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,1264238000,2232946000,1172622000,1412838000,820108000,1261158000,222525000,4467254000,Pequeña empresa
800204295,"C1410 - Confección de prendas de vestir, excepto prendas de piel",3768488000,3826901000,949518000,1556357000,2270544000,1162402000,173736000,3875878000,Pequeña empresa
800205361,"C1410 - Confección de prendas de vestir, excepto prendas de piel",599599000,1217515000,147645000,914539000,302976000,166765000,0,1142548000,Pequeña empresa
800205946,C2229 - Fabricación de artículos de plástico n.c.p.,20807556000,36362595000,16910229000,23798727000,12563868000,12205039000,0,42605081000,Mediana empresa
800207887,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,10303283000,15431387000,5261310000,10619067000,4812320000,7883472000,0,18307506000,Mediana empresa
800208449,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,6642482000,10619420000,5723094000,6110988000,4508432000,5311866000,1228475000,23711031000,Mediana empresa
800212075,"C1410 - Confección de prendas de vestir, excepto prendas de piel",4250942000,5302935000,748552000,3095740000,2207195000,1744522000,0,3406853000,Pequeña empresa
800215514,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,1966367000,2895497000,1901295000,2671809000,223688000,2308986000,124320000,4954427000,Pequeña empresa
800217623,C2229 - Fabricación de artículos de plástico n.c.p.,23902738000,49218622000,10356940000,23067558000,26151064000,9978702000,2092702000,32402866000,Mediana empresa
800219510,"C1410 - Confección de prendas de vestir, excepto prendas de piel",17023618000,20234394000,6430632000,14211511000,6022883000,18425898000,2025044000,42375574000,Mediana empresa
800221644,"C1410 - Confección de prendas de vestir, excepto prendas de piel",7494488000,11998150000,2960501000,3192045000,8806105000,2436939000,157939000,7989748000,Mediana empresa
800224082,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,5170915000,5821141000,1747453000,3503608000,2317533000,3042085000,115815000,13148042000,Pequeña empresa
800225290,C2229 - Fabricación de artículos de plástico n.c.p.,2922199000,10815074000,1574293000,10672817000,142257000,1297959000,0,7552318000,Pequeña empresa
800227736,C2229 - Fabricación de artículos de plástico n.c.p.,20359667000,26505068000,6266055000,14676457000,11828611000,4853794000,727259000,30316247000,Mediana empresa
800229885,G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados,19437808000,32906196000,17243970000,19072703000,13833493000,19826713000,1084530000,52802132000,Mediana empresa
800230322,"C1410 - Confección de prendas de vestir, excepto prendas de piel",15094205000,17370094000,15015830000,16564176000,805918000,12846574000,0,29728349000,Mediana empresa
800230531,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,411253000,520928000,409861000,409861000,111067000,462383000,35923000,1240542000,Microempresa
800232283,C2229 - Fabricación de artículos de plástico n.c.p.,16756743000,28378416000,9988638000,13805221000,14573195000,4620277000,1591037000,33565433000,Mediana empresa
800232762,G4759 - Comercio al por menor de otros artículos domésticos en establecimientos especializados,1251476000,1609398000,81074000,1122679000,486719000,516815000,0,561296000,Microempresa
800234328,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,11423384000,11614515000,4701092000,9196937000,2417578000,5725716000,652343000,16354817000,Pequeña empresa
