NIT,ciiu,TOTAL ACTIVO CORRIENTE,TOTAL ACTIVO,TOTAL PASIVO CORRIENTE,TOTAL PASIVO,TOTAL PATRIMONIO,UTILIDAD,INTERESES,Ingresos,Tamaño Empresarial
804003570,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3855934000,4792102000,2540189000,2810620000,1981482000,1464928000,206799000,8962480000,Pequeña empresa
804011160,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",10148567000,12019704000,8386179000,9226832000,2792872000,4988460000,1207929000,14742208000,Pequeña empresa
804014189,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1737601000,8339672000,605278000,1105923000,7233749000,491592000,0,2796827000,Pequeña empresa
804014289,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1589172000,1808469000,1300384000,1300384000,508085000,385309000,70321000,2716626000,Pequeña empresa
804014382,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",16718157000,20584873000,13365979000,13412601000,7172272000,9501362000,2516454000,33061483000,Mediana empresa
804014984,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",4606287000,4840456000,2453818000,2887284000,1953172000,2345520000,196140000,6805185000,Pequeña empresa
805002283,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1081099000,1081099000,474857000,763925000,317174000,271554000,0,1176978000,Microempresa
805005216,G4520 - Mantenimiento y reparación de vehículos automotores,4182285000,6040272000,1588271000,2765817000,3274455000,2197929000,237310000,6298056000,Mediana empresa
805008827,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",224108000,736559000,211497000,428963000,307596000,842044000,0,2142151000,Pequeña empresa
805015305,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",13356057000,13598635000,8075222000,8229746000,5368889000,11556499000,532345000,35463319000,Mediana empresa
805019449,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3676617000,3848176000,427129000,427129000,3421047000,1000039000,20384000,2330102000,Pequeña empresa
805020439,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",824580000,890857000,591321000,623658000,267199000,218487000,55482000,573368000,Microempresa
805020842,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",845448000,1132878000,414216000,516329000,616549000,952551000,73885000,2580701000,Pequeña empresa
805029893,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3104662000,3181278000,858790000,1457391000,1723887000,408007000,0,2552933000,Pequeña empresa
805030038,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",10704810000,11465363000,7268993000,9241904000,2223459000,2676690000,0,10510266000,Pequeña empresa
806005389,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2044118000,2107331000,983214000,1026424000,1080907000,3464094000,0,3464094000,Pequeña empresa
807000570,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",5400430000,7769592000,3267293000,3281190000,4488402000,3892312000,129093000,8191332000,Pequeña empresa
810005399,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",9286484000,9886587000,3548123000,6501955000,3384632000,2416355000,0,20470548000,Mediana empresa
811004112,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",60494585000,69778707000,41073062000,47539499000,22239208000,32568879000,2051745000,95302621000,Mediana empresa
811004518,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2285843000,2517333000,454095000,1310143000,1207190000,1545487000,77356000,3064586000,Pequeña empresa
811006765,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",29319056000,39192700000,6234648000,16980195000,22212505000,8686820000,0,38750453000,Mediana empresa
811008298,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",31748459000,32841412000,9657966000,25087495000,7753917000,12514047000,3054235000,46786152000,Mediana empresa
811008375,G4520 - Mantenimiento y reparación de vehículos automotores,2318116000,6068847000,1082380000,2394012000,3674835000,1357315000,75305000,6364952000,Mediana empresa
811009893,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",7801520000,14463363000,6720911000,10438863000,4024500000,9292854000,950254000,35733217000,Mediana empresa
811010817,G4520 - Mantenimiento y reparación de vehículos automotores,7729410000,11351817000,1068870000,1068870000,10282947000,6005757000,1878143000,11103010000,Mediana empresa
811013352,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",10421019000,11093982000,2619408000,2619408000,8474574000,7174939000,175735000,24384635000,Mediana empresa
811016261,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",19997897000,20533976000,7534466000,13860201000,6673775000,2798718000,0,27146791000,Mediana empresa
811019259,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1374649000,1450752000,282226000,282226000,1168526000,967062000,46876000,2651702000,Pequeña empresa
811019868,G4520 - Mantenimiento y reparación de vehículos automotores,451486000,659700000,320742000,364019000,295681000,589020000,0,4219295000,Pequeña empresa
811023691,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2851488000,3063114000,1871513000,1871513000,1191601000,490734000,166194000,3671018000,Pequeña empresa
811036961,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",989386000,5981514000,2188670000,2188670000,3792844000,162265000,0,1844122000,Pequeña empresa
811042079,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",17216403000,18901735000,7941707000,7941707000,10960028000,7737891000,688752000,23710355000,Mediana empresa
811042836,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",6239242000,8064882000,5783694000,7035241000,1029641000,2118012000,287200000,5370329000,Pequeña empresa
813008499,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",4445542000,6890500000,2761681000,4132466000,2758034000,4514540000,389916000,13008506000,Pequeña empresa
816002742,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1208013000,2997170000,220051000,313849000,2683321000,1433251000,175696000,5498475000,Pequeña empresa
