No,Liquidez,Nivel_Endeudamiento,Razón-Cobertura_de_intereses,Rentabilidad del Patrimonio,Rentabilidad del Activo,Capital_de_Trabajo,%K
67,2.172407611,0.421599195,10,26%,0.147968444," 3,498,605,000.00 ",11.66201667
68,2.379771791,0.411792116,18.01136067,140%,0.824776639," 8,544,074,000.00 ",28.48024667
69,5.499387542,0.181175304,22.1341681,17%,0.137477383," 7,871,710,000.00 ",26.23903333
70,3.063690525,0.292545411,10,123%,0.873675377," 1,124,020,000.00 ",3.746733333
71,25.30614979,0.039516086,17.77355683,8%,0.078519013," 2,775,738,000.00 ",9.25246
72,1.214355262,0.707130322,6.190994959,105%,0.30734837," 884,355,000.00 ",2.94785
73,3.19503184,0.283947411,5.971818805,16%,0.117120487," 1,158,540,000.00 ",3.8618
74,1.831369269,0.414395474,12.44219121,31%,0.179119465," 11,241,885,000.00 ",37.47295
75,2.596043731,0.30005107,17.32263665,37%,0.259248667," 1,788,932,000.00 ",5.963106667
76,1.132214972,0.496842348,15.89228048,28%,0.14033426," 224,354,000.00 ",0.747846667
77,2.552791462,0.388439329,6.57888184,60%,0.367057469," 697,222,000.00 ",2.324073333
78,0.992241701,0.844735766,3.895836097,198%,0.306857852," (1,365,351,000.00)",-4.55117
79,2.965261739,0.492521267,8.44907929,43%,0.219374009," 7,319,637,000.00 ",24.39879
80,0.459268973,0.83549375,10,21%,0.034005672," (2,398,300,000.00)",-7.994333333
81,4.164565025,0.224118612,13.43423729,46%,0.356374747," 3,949,605,000.00 ",13.16535
82,10.89668021,0.198839258,10,39%,0.310253904," 3,059,816,000.00 ",10.19938667
83,1.951064352,0.533239098,8.274004314,73%,0.339643423," 7,398,069,000.00 ",24.66023
84,1.871111488,0.524317567,46.33220349,145%,0.691136032," 7,182,924,000.00 ",23.94308
85,1.552252597,0.707007185,19.64098986,183%,0.534762146," 13,808,086,000.00 ",46.02695333
86,1.35178997,0.73975989,10,61%,0.158029778," 327,406,000.00 ",1.091353333
87,1.309717534,0.666243827,10,164%,0.546100049," 745,474,000.00 ",2.484913333
88,5.374656797,0.173201869,53.97519499,65%,0.538411206," 7,294,224,000.00 ",24.31408
89,2.922870358,0.341613237,10,80%,0.52403171," 1,991,363,000.00 ",6.637876667
90,7.417447987,0.163221584,2165.522678,40%,0.335057908," 1,468,864,000.00 ",4.896213333
91,1.532040684,0.499084102,3.558178926,31%,0.157543891," 1,398,553,000.00 ",4.661843333
92,6.627010212,0.513406087,10,73%,0.355189526," 1,246,349,000.00 ",4.154496667
93,1.901681786,0.363765877,9.064987001,53%,0.336100292," 826,468,000.00 ",2.754893333
94,5.254530256,0.679508033,9.020218654,119%,0.381140383," 4,193,950,000.00 ",13.97983333
95,3.898801811,0.256489057,33.94957511,125%,0.930753128," 434,026,000.00 ",1.446753333
96,9.580024619,0.090417431,10,56%,0.512105669," 3,499,037,000.00 ",11.66345667
97,1.572100446,0.539055415,11.36717848,94%,0.432691876," 1,278,343,000.00 ",4.261143333
98,9.721695096,0.573848114,4.062340877,75%,0.320538706," 4,090,475,000.00 ",13.63491667
99,2.533556691,0.465959779,4.725002678,36%,0.193752207," 3,356,517,000.00 ",11.18839
100,1.393762116,0.853356415,4.05634962,46%,0.066727506," 1,743,809,000.00 ",5.812696667
101,1.90721443,0.365994887,10,43%,0.271148574," 2,074,422,000.00 ",6.91474
102,2.214608422,0.501771879,2774513,159%,0.79400815," 1,578,646,000.00 ",5.262153333
103,1.834251272,0.526848841,10,79%,0.375544497," 1,149,066,000.00 ",3.83022
104,3.004305515,0.175006461,44.33867855,28%,0.22961115," 373,813,000.00 ",1.246043333
105,1.659413284,0.568504565,10,161%,0.694766541," 235,975,000.00 ",0.786583333
106,5.360332985,0.881800257,10,135%,0.159645031," 4,865,979,000.00 ",16.21993
107,3.200241959,0.387309455,10,75%,0.45706339," 5,323,316,000.00 ",17.74438667
108,1.525940587,0.479133282,58.08618953,72%,0.374237781," 2,097,460,000.00 ",6.991533333
109,1.167279978,0.789793953,7.98171721,169%,0.356174885," 7,179,254,000.00 ",23.93084667
110,2.266930434,0.345349701,34.48328691,8%,0.054103622," 1,401,576,000.00 ",4.67192
111,3.56354645,0.179090827,2.227961802,28%,0.231073694," 8,198,260,000.00 ",27.32753333
112,1.848346744,0.562558088,46.10872105,53%,0.230948968," 1,315,863,000.00 ",4.38621
113,3.607715649,0.714161428,10,153%,0.437540173," 3,473,665,000.00 ",11.57888333
114,2.029610087,0.460487682,10,26%,0.141712158," 1,476,396,000.00 ",4.92132
115,4.243754684,0.249309048,10,5%,0.034142417," 2,778,477,000.00 ",9.26159
116,3.002247364,0.321295736,10,103%,0.701917804," 3,044,313,000.00 ",10.14771
117,1.561173847,0.523422431,3.245928383,51%,0.244103195," 457,488,000.00 ",1.52496
118,0.694333837,0.551488349,10,12%,0.055895283," (324,177,000.00)",-1.08059
119,2.664187411,0.368000943,10,81%,0.51428555," 852,257,000.00 ",2.840856667
