IL,NE,RCI, RP ,RA, CT ,%k
2.664191607,0.363313299,143.4137841, 0.9430292 ,0.600414143," 9,213,459,000.00 ",30.71153
0.770624581,0.439944298,10, 0.8539819 ,0.478277457," (689,814,000.00)",-2.29938
1.948375415,0.474540631,8.222205502, 0.9010704 ,0.473475872," 42,316,217,000.00 ",141.0540567
1.577538003,0.422995558,16.88095687, 0.7856054 ,0.45329779," 6,796,555,000.00 ",22.65518333
2.083977872,0.646354847,3.998166773, 1.5999518 ,0.565815205," 12,774,173,000.00 ",42.58057667
1.77650305,0.553586016,18.61647331, 1.5441893 ,0.6893477," 691,455,000.00 ",2.30485
1.442998515,0.759315734,9.717472488, 1.5716277 ,0.378266057," 19,548,440,000.00 ",65.16146667
9.692987631,0.608435239,4.304783397, 0.7876709 ,0.308424172," 169,504,079,000.00 ",565.0135967
2.221965778,0.400249424,5.291375303, 0.6499558 ,0.389811345," 6,396,788,000.00 ",21.32262667
3.151850583,0.711667632,11.66941864, 2.0715940 ,0.597307596," 16,608,680,000.00 ",55.36226667
0.939015093,0.410978628,2.489386795, 0.2873492 ,0.169254834," (882,989,000.00)",-2.943296667
1.912645448,0.466762678,19.33499586, 0.9543947 ,0.508918852," 1,310,944,000.00 ",4.369813333
1.625178904,0.288858047,3.088978135, 0.2232874 ,0.158789028," 4,056,242,000.00 ",13.52080667
1.376010599,0.716194414,34.32899579, 1.1067061 ,0.31408938," 12,903,141,000.00 ",43.01047
1.170341545,0.92956692,4.434777916, 4.7270114 ,0.332937975," 20,163,337,000.00 ",67.21112333
1.318127998,0.721564546,3.026492487, 1.2101309 ,0.336943343," 10,696,467,000.00 ",35.65489
5.206782525,0.637178758,4.690995807, 1.4331726 ,0.519985449," 38,565,927,000.00 ",128.55309
1.527650956,0.751270077,4.488227627, 1.4658534 ,0.364601601," 11,990,506,000.00 ",39.96835333
2.10708244,0.600903438,6.761386013, 0.7021442 ,0.280223321," 13,740,288,000.00 ",45.80096
2.517599422,0.369796733,8.689655172, 0.0605141 ,0.038136202," 667,507,000.00 ",2.225023333
0.395878377,0.883833796,0.114487938, 0.0748736 ,0.008697779," (292,825,000.00)",-0.976083333
1.813807933,0.593759151,11.89789778, 0.5011555 ,0.203589837," 55,495,652,000.00 ",184.9855067
7.533553014,0.332875385,8.679766844, 0.3386330 ,0.225910434," 58,302,487,000.00 ",194.3416233
1.666033214,0.633273008,6.065461032, 1.5778335 ,0.578634122," 10,617,031,000.00 ",35.39010333
3.067038872,0.32192455,2375.418877, 1.3468952 ,0.913296585," 2,218,805,000.00 ",7.396016667
2.241371327,0.545512718,32.1186971, 1.1301758 ,0.513650549," 199,568,802,000.00 ",665.22934
4.016934452,0.244579644,79.1821115, 0.8022359 ,0.606025343," 25,135,520,000.00 ",83.78506667
1.981949639,0.570741395,15.92246553, 1.0273812 ,0.441012205," 4,188,353,000.00 ",13.96117667
1.232735988,0.671104664,27.01805871, 1.7039226 ,0.560412187," 1,447,090,000.00 ",4.823633333
3.764561088,0.593105776,9.205241906, 2.9056391 ,1.18228777," 18,719,009,000.00 ",62.39669667
2.191126929,0.693748715,29.35970415, 1.9341760 ,0.592343881," 43,367,763,000.00 ",144.55921
1.634516562,0.495297733,56.90991633, 0.8711341 ,0.439663364," 1,998,224,000.00 ",6.660746667
1.857700457,0.53895431,14.66413184, 0.9575482 ,0.441473467," 36,883,390,000.00 ",122.9446333
2.417450736,0.533915352,10, 1.4841932 ,0.691759661," 2,139,245,000.00 ",7.130816667
1.196936811,0.834051763,388.6856243, 0.9804987 ,0.162712026," 12,577,113,000.00 ",41.92371
2.464660236,0.414564301,4.299826393, 0.7085163 ,0.414790759," 14,337,354,000.00 ",47.79118
0.503776174,0.786614543,10, 0.2759214 ,0.058877615," (13,589,481,000.00)",-45.29827
1.615845731,0.610886146,48.40708536, 0.9313142 ,0.362387238," 13,034,931,000.00 ",43.44977
1.658748549,0.606688157,74.26631327, 1.0163335 ,0.399736018," 28,170,026,000.00 ",93.90008667
1.340966837,0.810970206,15.05390286, 1.7640886 ,0.333465297," 10,178,467,000.00 ",33.92822333
0.750982814,0.921898752,1.026778772, 1.2587426 ,0.098309369," (6,202,540,000.00)",-20.67513333
1.112225102,0.717298141,4.356763172, 1.1699311 ,0.330741688," 19,024,131,000.00 ",63.41377
1.333872342,0.576610501,4.335700026, 0.6031600 ,0.25537159," 34,000,928,000.00 ",113.3364267
2.456420647,0.572799468,5.864332381, 0.8338615 ,0.356226095," 69,042,282,000.00 ",230.14094
0.941839715,0.485264625,10.42325755, 0.7362464 ,0.378972081," (2,698,176,000.00)",-8.99392
2.336108325,0.18265106,9.857231265, 0.4110383 ,0.335961709," 42,717,716,000.00 ",142.3923867
2.720414343,0.260758529,67.79563554, 0.3058409 ,0.226090291," 22,830,165,000.00 ",76.10055
4.079981692,0.326632359,10, 0.5360373 ,0.360950197," 53,819,597,000.00 ",179.3986567
1.621978192,0.68609317,2.326228922, 1.0402960 ,0.326556009," 29,027,739,000.00 ",96.75913
14.02460655,0.077165961,2.42090436, 0.0838709 ,0.077398951," 3,185,415,000.00 ",10.61805
6.740669987,0.165242735,69.32504883, 0.4585709 ,0.382795352," 22,014,947,000.00 ",73.38315667
2.65972543,0.335430669,12.70499075, 1.0149903 ,0.674531408," 14,208,448,000.00 ",47.36149333
28.90124622,0.029501226,12.61899771, 0.0119975 ,0.01164359," 15,604,888,000.00 ",52.01629333
1.558032391,0.333233067,44.51207077, 0.4300751 ,0.286759826," 3,639,355,000.00 ",12.13118333
2.343302033,0.612937743,1.301459429, 0.0801889 ,0.031038079," 23,239,191,000.00 ",77.46397
1.159453269,0.300246469,2.374596844, 0.1340623 ,0.093810558," 2,762,949,000.00 ",9.20983
1.246970694,0.684977422,4.042637456, 1.0930381 ,0.34433168," 8,083,703,000.00 ",26.94567667
3.201992284,0.333378605,28.21644804, 0.9034950 ,0.602289091," 14,230,886,000.00 ",47.43628667
1.527168079,0.606154149,31.36891723, 1.5612717 ,0.614900367," 1,058,243,000.00 ",3.527476667
1.914610047,0.517282506,12.13849885, 1.0155315 ,0.49021484," 3,024,545,000.00 ",10.08181667
1.445392142,0.568512892,20.64253194, 1.4548249 ,0.6277382," 7,984,373,000.00 ",26.61457667
1.850857554,0.628238396,10, 3.4401870 ,1.278929424," 292,250,000.00 ",0.974166667
1.697601177,0.552359628,74.92676129, 2.7058952 ,1.211267916," 365,926,000.00 ",1.219753333
3.957511586,0.713260507,10, 0.6448454 ,0.184902641," 611,989,000.00 ",2.039963333
6.64876179,0.128822234,10, 0.4092487 ,0.356528406," 4,062,951,000.00 ",13.54317
1.762379619,0.559808719,5.31891826, 1.9333259 ,0.851033195," 1,707,940,000.00 ",5.693133333
2.172407611,0.421599195,10, 0.2558234 ,0.147968444," 3,498,605,000.00 ",11.66201667
2.379771791,0.411792116,18.01136067, 1.4021856 ,0.824776639," 8,544,074,000.00 ",28.48024667
5.499387542,0.181175304,22.1341681, 0.1678960 ,0.137477383," 7,871,710,000.00 ",26.23903333
3.063690525,0.292545411,10, 1.2349561 ,0.873675377," 1,124,020,000.00 ",3.746733333
25.30614979,0.039516086,17.77355683, 0.0817494 ,0.078519013," 2,775,738,000.00 ",9.25246
1.214355262,0.707130322,6.190994959, 1.0494373 ,0.30734837," 884,355,000.00 ",2.94785
3.19503184,0.283947411,5.971818805, 0.1635641 ,0.117120487," 1,158,540,000.00 ",3.8618
1.831369269,0.414395474,12.44219121, 0.3058710 ,0.179119465," 11,241,885,000.00 ",37.47295
2.596043731,0.30005107,17.32263665, 0.3703823 ,0.259248667," 1,788,932,000.00 ",5.963106667
1.132214972,0.496842348,15.89228048, 0.2789071 ,0.14033426," 224,354,000.00 ",0.747846667
2.552791462,0.388439329,6.57888184, 0.6001980 ,0.367057469," 697,222,000.00 ",2.324073333
0.992241701,0.844735766,3.895836097, 1.9763589 ,0.306857852," (1,365,351,000.00)",-4.55117
2.965261739,0.492521267,8.44907929, 0.4322822 ,0.219374009," 7,319,637,000.00 ",24.39879
0.459268973,0.83549375,10, 0.2067136 ,0.034005672," (2,398,300,000.00)",-7.994333333
4.164565025,0.224118612,13.43423729, 0.4593160 ,0.356374747," 3,949,605,000.00 ",13.16535
10.89668021,0.198839258,10, 0.3872555 ,0.310253904," 3,059,816,000.00 ",10.19938667
1.951064352,0.533239098,8.274004314, 0.7276604 ,0.339643423," 7,398,069,000.00 ",24.66023
1.871111488,0.524317567,46.33220349, 1.4529358 ,0.691136032," 7,182,924,000.00 ",23.94308
1.552252597,0.707007185,19.64098986, 1.8251715 ,0.534762146," 13,808,086,000.00 ",46.02695333
1.35178997,0.73975989,10, 0.6072460 ,0.158029778," 327,406,000.00 ",1.091353333
1.309717534,0.666243827,10, 1.6362246 ,0.546100049," 745,474,000.00 ",2.484913333
5.374656797,0.173201869,53.97519499, 0.6512003 ,0.538411206," 7,294,224,000.00 ",24.31408
2.922870358,0.341613237,10, 0.7959329 ,0.52403171," 1,991,363,000.00 ",6.637876667
7.417447987,0.163221584,2165.522678, 0.4004141 ,0.335057908," 1,468,864,000.00 ",4.896213333
1.532040684,0.499084102,3.558178926, 0.3145117 ,0.157543891," 1,398,553,000.00 ",4.661843333
6.627010212,0.513406087,10, 0.7299506 ,0.355189526," 1,246,349,000.00 ",4.154496667
1.901681786,0.363765877,9.064987001, 0.5282651 ,0.336100292," 826,468,000.00 ",2.754893333
