No,LIQUIDEZ,NIVEL DE ENDEUDAMIENTO ,Razón de Cobertura de intereses , Rentabilidad del Patrimonio ,Rentabilidad del Activo,CAPITAL DE TRABAJO,%K
295,7.736820989,0.767490585,4.625801147, 0.50 ,0.116794205,2569053000,0.500924136
296,3.638720819,0.705461142,10, 0.50 ,0.147227561,7974779000,1.554954018
297,4.414499834,0.506758989,12.36416241, 0.61 ,0.302837227,1087566000,0.212057929
298,11.78090191,0.982759817,10, 7.87 ,0.135687585,12267750000,2.392014518
299,3.041030116,0.57111042,6.902481297, 0.23 ,0.096653898,7114982000,1.387307391
300,13.10566501,0.954768437,10, 0.69 ,0.031123414,25639399000,4.999271639
301,1.779994997,0.603312957,109.5697468, 0.41 ,0.16163515,4679899000,0.912505256
302,1.59546024,0.753306594,5.196785841, 0.20 ,0.05040954,6944929000,1.354149783
303,1.787614142,0.524439255,10, 4.42 ,2.100219605,2148750000,0.418971792
304,4.115763337,0.546258613,26.27435102, 1.10 ,0.499938439,6246554000,1.217977857
305,24.81104621,0.91335399,10, 3.00 ,0.259615903,38165083000,7.441579151
306,2.00675117,0.686944261,10, 2.04 ,0.639390296,3374045000,0.657884667
307,14.11884091,0.840529304,10, 0.53 ,0.084126609,36733909000,7.162523172
308,3.538967973,0.771670618,10, 1.54 ,0.352699131,13787274000,2.688297331
309,1.783851454,0.671672019,10, 1.25 ,0.409586295,5887201000,1.147909785
310,46.34423829,0.653547956,10, 0.56 ,0.194279352,8917806000,1.73882916
311,2.193859522,0.633719683,4.777951125, 0.58 ,0.212122664,2402776000,0.468502788
312,13.37367627,0.947637744,223.9984783, 0.90 ,0.046959709,17148183000,3.343620688
313,10.94454688,0.670426158,6.170907605, 0.26 ,0.084061097,16519573000,3.221051819
314,1.615859519,0.721569927,311.1348991, 0.69 ,0.193007587,3159129000,0.615979494
315,66.67980632,0.954562261,8.047536004, 1.03 ,0.046845857,26640846000,5.194537744
316,3.150706972,0.634072648,10, 0.62 ,0.225342536,8204646000,1.599774396
317,10,0.545913097,12970.43212, 3.48 ,1.578274746,13559878000,2.643958757
318,2.338213338,0.696879106,25.14422214, 0.93 ,0.280863099,2695254000,0.525531308
319,1.648197077,0.603516006,10, 0.78 ,0.309106247,3818306000,0.744508438
320,16.62164416,0.982737521,10, 3.06 ,0.052784997,3784562000,0.737928899
321,2.227255508,0.996123344,10, 10.56 ,0.040943204,1354139000,0.264035389
322,3.800313128,0.813268813,22.27129644, 1.48 ,0.275467049,4321278000,0.842579912
323,2.019486169,0.525583747,10, 0.26 ,0.123599188,12793849000,2.494595387
324,7.094946735,0.800300027,20.7798574, 0.58 ,0.115149682,4143936000,0.808001066
325,2476.390345,0.697479591,10, 0.36 ,0.109042472,1794658000,0.34992953
326,1.522035226,0.512256646,17325.3625, 0.74 ,0.362962828,5115881000,0.997514754
327,1.587143966,0.629841893,10, 0.15 ,0.055691685,3001834000,0.585309491
328,2.307774561,0.948095572,10, 2.21 ,0.114674028,6499191000,1.267238021
